Instancia,Tempo,Total Branching,Average Branching, Min Branching, Max Branching,States Visited,Solution Length
0.out,0.000000s,103,2.641026,2,4,39,11
1.out,0.010000s,5976,2.404829,1,6,2485,127
2.out,0.020000s,13286,2.427997,1,6,5472,127
3.out,0.010000s,10843,2.439919,1,6,4444,118
4.out,0.020000s,12383,2.302957,1,6,5377,154
5.out,0.020000s,13517,2.425444,1,4,5573,214
6.out,0.320000s,121972,2.401024,1,6,50800,222
7.out,0.210000s,82659,2.324755,1,6,35556,296
8.out,0.160000s,60257,2.472589,1,5,24370,248
9.out,0.990000s,268860,2.428397,1,6,110715,238
10.out,1.340000s,343192,2.440095,1,6,140647,512
extra-ksokoban/1.out,0.100000s,53741,3.087144,1,6,17408,23
extra-ksokoban/2.out,8.400000s,1929146,2.979689,1,6,647432,38
extra-ksokoban/3.out,1.120000s,367958,2.848766,1,6,129164,36
extra-ksokoban/5.out,14.200000s,2083673,3.957774,1,6,526476,26
extra-ksokoban/6.out,9.690000s,2531583,2.764627,1,6,915705,57
extra-ksokoban/7.out,47.900000s,7275185,3.779786,1,6,1924761,29
extra-ksokoban/8.out,0.950000s,244298,3.631280,1,6,67276,26

Instancia,Tempo,Total Branching,Average Branching, Min Branching, Max Branching,States Visited,Solution Length
extra-ksokoban/1-soko.out,0.640000s,260219,2.623810,1,4,99176,53
extra-ksokoban/2-soko.out,29.510000s,5751602,2.476214,1,4,2322740,64
extra-ksokoban/3-soko.out,8.470000s,2148078,2.456120,1,4,874582,79
